feature,single_feature_auroc,single_feature_auprc,missing_rate,leaky_name_score
lab_50960,0.5962329851218741,0.5418649931035223,0.047619047619047616,0.0
lab_51301,0.592909148464704,0.5275186210586058,0.027777777777777776,0.0
lab_50893,0.5665716999050333,0.508587299180834,0.06349206349206349,0.0
lab_51249,0.5651471984805319,0.5282847707707183,0.027777777777777776,0.0
lab_51265,0.5448876226654005,0.5019989440044635,0.015873015873015872,0.0
lab_50882,0.5400126622348845,0.49154892254635546,0.023809523809523808,0.0
lab_50868,0.539031339031339,0.5012598175404777,0.023809523809523808,0.0
lab_51221,0.5383349161126938,0.48686489007831824,0.015873015873015872,0.0
lab_50983,0.5350110794555238,0.5068184824464442,0.007936507936507936,0.0
lab_50931,0.5256093700538145,0.4770913104598211,0.023809523809523808,0.0
lab_50971,0.5209559987337764,0.47206342510521343,0.007936507936507936,0.0
lab_51277,0.5176954732510288,0.4720768926010317,0.027777777777777776,0.0
lab_51279,0.514181703070592,0.46568310788663014,0.027777777777777776,0.0
lab_50820,0.5117125672681229,0.5723178535400875,0.5992063492063492,0.0
lab_52172,0.511522633744856,0.4653121142982425,0.5277777777777778,0.0
lab_51222,0.511332700221589,0.4559130351987526,0.023809523809523808,0.0
lab_50902,0.5090218423551757,0.4692304600543946,0.007936507936507936,0.0
lab_51006,0.48784425451092117,0.4492585683614088,0.007936507936507936,0.0
lab_51250,0.48306426084203863,0.4385698415518802,0.027777777777777776,0.0
lab_51275,0.47676479898702123,0.512084820052038,0.21428571428571427,0.0
lab_50970,0.47530864197530864,0.4480556639312795,0.06349206349206349,0.0
lab_50912,0.4698005698005697,0.45756634608097047,0.007936507936507936,0.0
lab_51248,0.4551756885090218,0.4253366351058032,0.027777777777777776,0.0
lab_51274,0.4360873694207027,0.4186647808622706,0.1865079365079365,0.0
anchor_age,0.4100981323203545,0.43387959587316666,0.0,0.0
