feature,leaky_name_score
admission_location,0.0
admission_type,0.0
anchor_age,0.0
gender,0.0
insurance,0.0
lab_50820,0.0
lab_50868,0.0
lab_50882,0.0
lab_50893,0.0
lab_50902,0.0
lab_50912,0.0
lab_50931,0.0
lab_50960,0.0
lab_50970,0.0
lab_50971,0.0
lab_50983,0.0
lab_51006,0.0
lab_51221,0.0
lab_51222,0.0
lab_51248,0.0
lab_51249,0.0
lab_51250,0.0
lab_51265,0.0
lab_51274,0.0
lab_51275,0.0
lab_51277,0.0
lab_51279,0.0
lab_51301,0.0
lab_52172,0.0
marital_status,0.0
race,0.0
