tag,w_perf,w_cal,w_expl,w_rank,best_model,best_score,global_ranking_stability,regret_demo,regret_full,regret_mean
MIMIC_wrank_0.000,0.7,0.15,0.15,0.0,LogReg_L2,0.6985621248525409,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
MIMIC_wrank_0.050,0.65,0.15,0.15,0.05,LogReg_L2,0.6848112231700656,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
MIMIC_wrank_0.100,0.6,0.15,0.15,0.1,LogReg_L2,0.6710603214875902,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
MIMIC_wrank_0.150,0.55,0.15,0.15,0.15,LogReg_L2,0.6573094198051148,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
MIMIC_wrank_0.200,0.5,0.15,0.15,0.2,LogReg_L2,0.6435585181226394,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
MIMIC_wrank_0.250,0.44999999999999996,0.15,0.15,0.25,LogReg_L2,0.629807616440164,0.0,0.02812939521800284,0.0016338838234714048,0.014881639520737122
