n,delta_mean,delta_std,demo_mean,full_mean
50,-0.015760627545255885,0.06062272097872654,0.5029359760669581,0.49871701687150344
100,-0.1048646820398728,0.24733128245698557,0.7636618878075971,0.6913448281687293
150,-0.08885451220440418,0.20991450205431095,0.8265998676345029,0.7322024168732579
200,-0.15257691112774724,0.2217560769080443,0.9127068387391648,0.7592976770416248
252,-0.07760887282511257,0.0924840159493631,0.9258134083450539,0.8482045355199413
