ablation,k,auroc_A,auroc_B,delta_auroc_B_minus_A
baseline_none,0,0.7280785058562836,0.9513258538757874,0.22324734801950374
drop_top_shift_features,1,0.7199113643558087,0.9482334432630942,0.2283220789072855
drop_top_shift_features,3,0.7230769230769231,0.9479375855158143,0.22486066243889125
drop_top_shift_features,5,0.7231402342513453,0.9472552909379799,0.22411505668663456
drop_top_shift_features,8,0.7206710984488762,0.9474074434430311,0.22673634499415485
drop_top_shift_features,12,0.675593542260209,0.935227101098877,0.259633558838668
drop_top_shift_features,20,0.5499208610319721,0.8533272241643011,0.30340636313232894
