env,model,fold,auroc,auprc,logloss,brier,ece
demo,ET,24.5,0.5954495437466452,0.5760011383545912,0.6811194548126981,0.2439348403532658,0.10082339948344497
demo,HGB,24.5,0.7311540526033279,0.7079932494409047,0.6287282858068148,0.21832542575383868,0.1596662074004589
demo,LR,24.5,0.5530810520665593,0.5495150558283682,0.6863035314465452,0.24658575971943936,0.10210394688628621
demo,MLP,24.5,0.5502616747181964,0.5469867618238696,0.6876155181244293,0.24724371899177805,0.08731944420724093
demo,RF,24.5,0.7292015566290928,0.6961229633871251,0.6293869554975672,0.21842849939658052,0.16379332819711023
full,ET,24.5,0.9977127632030115,0.983887905820927,0.005309092142561329,0.0007820208823527244,0.0009506319913442414
full,HGB,24.5,0.9979573419253402,0.9842863298395074,0.005393008672270533,0.0008223547984009244,0.0011646775018976426
full,LR,24.5,0.9973321369115279,0.9832818472744149,0.005727772715681509,0.0009148379800202726,0.0016179523288127207
full,MLP,24.5,0.9980616210739774,0.980690229787325,0.010832208780268575,0.0020623881239403732,0.003130975178358416
full,RF,24.5,0.9972979167813011,0.9805678371497443,0.00537113034583343,0.0008061289416217878,0.0012804516119463093
