,ET,HGB,LR,MLP,RF
ET,,0.0,0.0,1.0,1.0
HGB,0.0,,0.0,1.0,0.0
LR,0.0,0.0,,1.0,1.0
MLP,1.0,1.0,1.0,,1.0
RF,1.0,0.0,1.0,1.0,
