covariate,missing_demo,missing_full,smd_unweighted,smd_weighted_full
subject_id,0.0,0.0,2.1684225756991578,1.6666406890666976
lab_51222,0.023809523809523808,0.054896669270648395,0.3537352835744187,0.2663472902986503
lab_51221,0.015873015873015872,0.03643207158582487,0.3110560319120118,0.2351309699234748
lab_51279,0.027777777777777776,0.05752432355656559,0.2965957052327876,0.2249116883410032
lab_51249,0.027777777777777776,0.05745330587316242,0.21278802062352645,0.15850268144125762
lab_51248,0.027777777777777776,0.05752432355656559,0.0827219801904254,0.060135407452635986
anchor_year,0.0,0.0,0.07289189741214454,0.05505797726631626
lab_51265,0.015873015873015872,0.05106171436687735,0.0005045817021719267,-0.000599785891293246
lab_51250,0.027777777777777776,0.05752432355656559,-0.023219413869773668,-0.018340139813383526
hadm_id,0.0,0.0,-0.06884853759549271,-0.0530968852505498
lab_50912,0.007936507936507936,0.0696683474185072,-0.10225353184417275,-0.0650739389775002
anchor_age,0.0,0.0,-0.15902849803087887,-0.1242285118638165
lab_51006,0.007936507936507936,0.08010794687877282,-0.20912920043474256,-0.13215714541208512
lab_51277,0.027777777777777776,0.05766635892337192,-0.2395156029714667,-0.17003518717495758
lab_51301,0.027777777777777776,0.056956182089340245,-0.2695686976023536,-0.15055934659224307
