model,AUROC_demo,AUROC_full,AUROC_mean
RF_500,1.0,0.998288157100362,0.9991440785501811
XGB_600,0.9999999999999999,0.9978778033208531,0.9989389016604264
ExtraTrees_800,1.0,0.997782949719042,0.998891474859521
LogReg_L2,0.9659634317862167,0.9970239173560516,0.9814936745711341
MLP_256x128,0.8790436005625879,0.9989496897310188,0.9389966451468034
