model,auroc,worst_auroc,ece,auprc,logloss,flip_rate
ET,0.8187068509159972,0.6395694840139284,0.05178642170316056,0.7754456266723844,0.34013108536389874,0.5
HGB,0.8657210796984252,0.7366888255777145,0.09854452257777833,0.8540460178683718,0.4762969880245648,1.0
LR,0.8123085359018609,0.6264640709085153,0.07866987756144657,0.7784142069308384,0.4009487233843165,0.0
MLP,0.7561529907759013,0.514846470402026,0.2131626040255376,0.7393662764114372,1.2914910192883942,0.0
RF,0.8720136195125986,0.7458689458689457,0.063749565225094,0.8396327089166328,0.3117603666833029,0.0
