env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,LR,0,0.9976455815413592,0.9998046320609084,0.04794118250624423,0.013500985110960524,0.020743519557999
synthetic,LR,1,1.0,1.0,0.032245037060232476,0.006642474319755093,0.02791405581990189
synthetic,LR,2,1.0,1.0,0.03485141712226639,0.008491904071981148,0.026225609618938467
synthetic,LR,3,0.9966787439613527,0.9997108792879019,0.052206759346593225,0.01432283923249112,0.024537948436547934
synthetic,LR,4,0.9978864734299516,0.9998151430482631,0.04670128232996635,0.013222556319472218,0.028425682443667465
synthetic,LR,5,0.9982734264636635,0.9998566222555371,0.044785168798650805,0.013162480522911513,0.024747688573848767
synthetic,LR,6,0.9990582326165438,0.9999217048586164,0.046984865898345746,0.012193284952764397,0.03086650291554303
synthetic,LR,7,1.0,1.0,0.03566473585289085,0.008332638656741989,0.03017368646446596
synthetic,LR,8,0.998792270531401,0.9998960044152729,0.04441079363992909,0.012186223463167532,0.02605585674945696
synthetic,LR,9,0.9978864734299517,0.9998161995046217,0.0447794088128254,0.011269716814638637,0.023785284004960137
synthetic,LR,10,0.999686077538848,0.999973981116948,0.040409380727797636,0.009659325482725628,0.029965619408814412
synthetic,LR,11,0.9990582326165438,0.9999217048586164,0.04604462613827264,0.012920156650694608,0.026551689305899077
synthetic,LR,12,0.9986413043478262,0.9998805435421879,0.04110410242618379,0.010311206169644411,0.02581146777669235
synthetic,LR,13,0.9996980676328502,0.9999739338963614,0.04145946826996162,0.010385900162281369,0.03081407169108234
synthetic,LR,14,0.9978864734299516,0.9998131747692218,0.04834158423673496,0.01384604143041137,0.029435791354442128
synthetic,LR,15,1.0,1.0,0.03869550391470076,0.00903997189546489,0.029517001931542705
synthetic,LR,16,0.9981164652330874,0.9998434504222945,0.043072349667053075,0.012331654797324336,0.019011691225771992
synthetic,LR,17,0.997433574879227,0.9997718452255631,0.05602986610692858,0.014948206053898688,0.03442308169648467
synthetic,LR,18,1.0,1.0,0.028577126584464665,0.007399351077933156,0.02059701750755074
synthetic,LR,19,0.9995471014492754,0.9999606171726616,0.04221228938143053,0.010460405547613938,0.03019484994192746
synthetic,LR,20,0.9992151938471198,0.9999353482659978,0.04763108858019264,0.011959834969327628,0.03499660358513783
synthetic,LR,21,0.9995291163082719,0.9999609010143999,0.029076156343193583,0.007000323066178753,0.022095665280302688
synthetic,LR,22,1.0,1.0,0.04175382028660367,0.010018467902817034,0.03126737137773841
synthetic,LR,23,0.9941123188405797,0.9994831878202475,0.05263277341982464,0.015479003894990025,0.022525297969715734
synthetic,LR,24,0.9990942028985508,0.999921514944744,0.0414844977860199,0.011133888496512813,0.025750310800275917
synthetic,LR,25,1.0,1.0,0.03354041756463185,0.008962676813705816,0.02363865671642012
synthetic,LR,26,0.9992151938471198,0.9999345977700936,0.053688515387734545,0.013472793896034162,0.03192588320824981
synthetic,LR,27,0.9981884057971014,0.9998398331793912,0.034810499244126485,0.00889392287364657,0.0215027799609138
synthetic,LR,28,0.9962258454106281,0.9996707107419471,0.05684120397272173,0.016218410967919393,0.027973117862379597
synthetic,LR,29,0.9996980676328502,0.9999739338963614,0.0419951295107715,0.011965093558983246,0.030322098059814374
synthetic,RF,0,1.0,1.0,0.006256768321428459,0.00042087823039834484,0.006022208851532449
synthetic,RF,1,1.0,1.0,0.00434011329213,0.00011545392506230221,0.0042798746668479834
synthetic,RF,2,1.0,1.0,0.004822508394145641,0.00014342753935378283,0.00474723833179159
synthetic,RF,3,1.0,1.0,0.007205836053728728,0.0006570870637155746,0.006809417723561509
synthetic,RF,4,1.0,1.0,0.006288268876563265,0.0003459955329139617,0.006099655778895248
synthetic,RF,5,1.0,1.0,0.00780011863592564,0.0013806925290382342,0.006707876346010863
synthetic,RF,6,1.0,0.9999999999999999,0.0059181526808115194,0.0002670290297032209,0.005775599327001416
synthetic,RF,7,1.0,1.0,0.005784466244652713,0.0003911018034414813,0.0055593946405688485
synthetic,RF,8,1.0,1.0,0.005749442396215118,0.0003416901733167318,0.005552060985773995
synthetic,RF,9,1.0,1.0,0.005391802910308822,0.000254244746458216,0.005250852194423894
synthetic,RF,10,1.0,1.0,0.004974395257701194,0.00030699568250755146,0.004797692305543796
synthetic,RF,11,1.0,1.0,0.006188698780392163,0.00045635630580764976,0.005923083870104418
synthetic,RF,12,1.0,1.0,0.005094652389072631,0.0001566364233379946,0.0050124884894175974
synthetic,RF,13,1.0,1.0,0.004372236932133176,9.119877307559988e-05,0.004325285971630942
synthetic,RF,14,1.0,1.0,0.009265001748281897,0.0015125111096855987,0.00808435269228311
