env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,ET,14.5,0.9992023499130901,0.9999316054643214,0.025416564175860083,0.006276660162814916,0.015965496679101084
synthetic,HGB,14.5,1.0,1.0,0.00613790852228236,0.0003499753940820622,0.005911985384073865
synthetic,LR,14.5,0.9987188947894684,0.999889348802272,0.04299903503057645,0.0113243913057664,0.027059863374882857
synthetic,MLP,14.5,0.8819684427992581,0.986939648138005,0.18127285926734066,0.04909899815719974,0.047100397472777084
synthetic,RF,14.5,1.0,1.0,0.006036913855811397,0.00047435144734830025,0.005716224330595146
nhanes,ET,14.5,0.9982885576520499,0.993001497692708,0.04466601541222189,0.012882917487462123,0.015904356019798102
nhanes,HGB,14.5,0.9999958602417619,0.999983093096071,0.004283259832420032,0.0005424918179877613,0.0037480748099791234
nhanes,LR,14.5,0.9998117562392372,0.9992385161474872,0.03195185016533207,0.008084357584178664,0.021249045877304376
nhanes,MLP,14.5,0.9973196917238965,0.9902851067427797,0.06034763632603797,0.016367925091323194,0.023788943130673167
nhanes,RF,14.5,1.0,1.0,0.0022214695170800587,1.6944330396853294e-05,0.0022127675943175054
