rep_seed,control_mode,model,demo_auroc,demo_auprc,demo_logloss,full_auroc,full_auprc,full_logloss,delta_auroc_full_minus_demo,delta_logloss_full_minus_demo
49,sample_size,HGB,0.6936372269705603,0.655702536772197,1.1836830740937008,0.7236151603498543,0.21061437152848772,0.3093594587926194,0.029977933379293997,-0.8743236153010814
49,composition,HGB,0.6936372269705603,0.655702536772197,1.1836830740937008,0.6782786885245902,0.22826438630808818,0.31638792161932333,-0.015358538445970127,-0.8672951524743775
49,ipw,HGB,0.6936372269705603,0.655702536772197,1.1836830740937008,0.6782786885245902,0.22826438630808818,0.31638792161932333,-0.015358538445970127,-0.8672951524743775
149,sample_size,HGB,0.7035770813548593,0.6381732703505992,1.1626072814092854,0.5433467741935485,0.2653691479027214,0.22324180128378035,-0.16023030716131081,-0.939365480125505
149,composition,HGB,0.7035770813548593,0.6381732703505992,1.1626072814092854,0.8215743440233236,0.18796333504931836,0.27670948192861694,0.11799726266846433,-0.8858977994806685
149,ipw,HGB,0.7035770813548593,0.6381732703505992,1.1626072814092854,0.8215743440233236,0.18796333504931836,0.27670948192861694,0.11799726266846433,-0.8858977994806685
249,sample_size,HGB,0.6890155112377333,0.6153744751300654,1.2075431468467064,0.7521689928328933,0.14624516109679797,0.5065094757607064,0.06315348159515999,-0.701033671086
249,composition,HGB,0.6890155112377333,0.6153744751300654,1.2075431468467064,0.8104166666666667,0.21976934091792974,0.47440367914695486,0.12140115542893337,-0.7331394676997516
249,ipw,HGB,0.6890155112377333,0.6153744751300654,1.2075431468467064,0.8104166666666667,0.21976934091792974,0.47440367914695486,0.12140115542893337,-0.7331394676997516
349,sample_size,HGB,0.71440329218107,0.6773085503192875,1.0644960269097614,0.7974254742547425,0.07381441729994578,0.2795578724828441,0.08302218207367251,-0.7849381544269174
349,composition,HGB,0.71440329218107,0.6773085503192875,1.0644960269097614,0.9801749271137027,0.6892551892551892,0.11411618399646846,0.26577163493263267,-0.9503798429132929
349,ipw,HGB,0.71440329218107,0.6773085503192875,1.0644960269097614,0.9801749271137027,0.6892551892551892,0.11411618399646846,0.26577163493263267,-0.9503798429132929
449,sample_size,HGB,0.6813548591326369,0.6025001867359312,1.1774839153832737,0.983739837398374,0.6504901960784314,0.10450347672825305,0.30238497826573707,-1.0729804386550206
449,composition,HGB,0.6813548591326369,0.6025001867359312,1.1774839153832737,0.8683354192740926,0.29528217698113013,0.5384618608788468,0.1869805601414557,-0.6390220545044268
449,ipw,HGB,0.6813548591326369,0.6025001867359312,1.1774839153832737,0.8683354192740926,0.29528217698113013,0.5384618608788468,0.1869805601414557,-0.6390220545044268
549,sample_size,HGB,0.7067426400759734,0.6508806043021674,1.1755796934088814,0.7538461538461538,0.25125260907285807,0.2002400378538184,0.047103513770180405,-0.975339655555063
549,composition,HGB,0.7067426400759734,0.6508806043021674,1.1755796934088814,0.09960159362549803,0.003968253968253968,0.13390466631498385,-0.6071410464504754,-1.0416750270938975
549,ipw,HGB,0.7067426400759734,0.6508806043021674,1.1755796934088814,0.09960159362549803,0.003968253968253968,0.13390466631498385,-0.6071410464504754,-1.0416750270938975
649,sample_size,HGB,0.6902817347261792,0.6656738963330471,1.1815385401393927,0.7854227405247813,0.46841228130048,0.21838065158690692,0.09514100579860219,-0.9631578885524859
649,composition,HGB,0.6902817347261792,0.6656738963330471,1.1815385401393927,0.9809027777777778,0.7576960076960079,0.14029640237969132,0.29062104305159864,-1.0412421377597014
649,ipw,HGB,0.6902817347261792,0.6656738963330471,1.1815385401393927,0.9809027777777778,0.7576960076960079,0.14029640237969132,0.29062104305159864,-1.0412421377597014
749,sample_size,HGB,0.6863564419119975,0.642785380173934,1.115537363322722,0.8747933884297521,0.1716308858691692,0.37371107908137025,0.18843694651775456,-0.7418262842413517
749,composition,HGB,0.6863564419119975,0.642785380173934,1.115537363322722,0.7603238866396761,0.13772862869784094,0.21010008814778294,0.07396744472767858,-0.905437275174939
749,ipw,HGB,0.6863564419119975,0.642785380173934,1.115537363322722,0.7603238866396761,0.13772862869784094,0.21010008814778294,0.07396744472767858,-0.905437275174939
849,sample_size,HGB,0.6999050332383665,0.6453744393485529,1.125386810561239,0.7880165289256198,0.37744031594101946,0.3328148290744253,0.0881114956872533,-0.7925719814868137
849,composition,HGB,0.6999050332383665,0.6453744393485529,1.125386810561239,0.9972565157750344,0.9278138528138529,0.025458020877016055,0.2973514825366679,-1.099928789684223
849,ipw,HGB,0.6999050332383665,0.6453744393485529,1.125386810561239,0.9972565157750344,0.9278138528138529,0.025458020877016055,0.2973514825366679,-1.099928789684223
949,sample_size,HGB,0.7232668566001899,0.7006473601037981,1.009914617763971,0.7393586005830904,0.05963441777361406,0.36349016972560616,0.016091743982900586,-0.646424448038365
949,composition,HGB,0.7232668566001899,0.7006473601037981,1.009914617763971,0.48286290322580644,0.019185468168057357,0.23774189874544122,-0.24040395337438342,-0.7721727190185299
949,ipw,HGB,0.7232668566001899,0.7006473601037981,1.009914617763971,0.48286290322580644,0.019185468168057357,0.23774189874544122,-0.24040395337438342,-0.7721727190185299
1049,sample_size,HGB,0.6675530231085787,0.6106470791148546,1.3452077891203764,0.7982507288629738,0.29097779153092596,0.25797958482501276,0.1306977057543951,-1.0872282042953636
1049,composition,HGB,0.6675530231085787,0.6106470791148546,1.3452077891203764,0.8568548387096774,0.08829378993299049,0.16077952160661702,0.1893018156010987,-1.1844282675137594
