env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,LR,0,0.9996253980146095,0.9999748500433837,0.0437797128776311,0.010891852437598925,0.03316599793179799
synthetic,LR,1,1.0,1.0,0.029502610762095996,0.007133823682287169,0.024085406014066113
synthetic,LR,2,0.9966071428571428,0.9997582585324684,0.04828123043332396,0.013439491752839216,0.02912646277942416
synthetic,LR,3,0.9998214285714285,0.9999872902897814,0.03192205641092538,0.008366340844930887,0.023312596986238162
synthetic,LR,4,1.0,1.0,0.03369149169139063,0.0076960653600350705,0.02479738674377548
synthetic,LR,5,1.0,1.0,0.02262969749925968,0.004558355885543039,0.019649371883604744
synthetic,LR,6,0.999107142857143,0.999936943087094,0.043549337612088415,0.011883185026874616,0.030044125429386323
synthetic,LR,7,0.9998214285714285,0.9999872902897814,0.040868839770634886,0.009415159337874825,0.028767314075247435
synthetic,LR,8,0.9983928571428572,0.9998861940640805,0.04301685123696307,0.01180027008913954,0.024248473522054396
synthetic,LR,9,0.9998214285714285,0.9999872902897814,0.03618525297405778,0.009109630248559918,0.02721588639329137
synthetic,LR,10,0.9985015920584379,0.9998981781720864,0.03971165080992925,0.01014399888763423,0.024052667734286732
synthetic,LR,11,1.0,1.0,0.04231387750231103,0.01197945222553396,0.03310022493971736
synthetic,LR,12,0.9994642857142857,0.9999617343684881,0.034169273027164236,0.008920312234028428,0.025253942062767026
synthetic,LR,13,1.0,1.0,0.03187133819312378,0.006785368668616414,0.02322672026729898
synthetic,LR,14,0.9992857142857143,0.9999491147980584,0.04123236461635529,0.010581642268934615,0.023883515396266448
synthetic,LR,15,1.0,1.0,0.04022995283206331,0.010183036828534532,0.028885342421091403
synthetic,LR,16,0.9983928571428571,0.9998849173309876,0.04397677201507984,0.012023957712847583,0.026216388746325116
synthetic,LR,17,0.9989285714285715,0.9999241422678415,0.03312682318587519,0.008188152457236449,0.02698780802702945
synthetic,LR,18,0.9989285714285715,0.9999237410948327,0.03719826201299712,0.009820540529821429,0.022186330650610958
synthetic,LR,19,1.0,1.0,0.03359003355463836,0.007533274815796959,0.028568651361615904
synthetic,LR,20,1.0,1.0,0.041201994290540736,0.010443449990315944,0.029661141781614678
synthetic,LR,21,0.9998214285714285,0.9999872902897814,0.03745780560780242,0.007934498829102833,0.029521815144896248
synthetic,LR,22,0.9992857142857142,0.9999488875031233,0.02952687576299785,0.007509614073331412,0.020221726714216345
synthetic,LR,23,0.9975,0.9998226345730407,0.050260788268434664,0.013928770360507879,0.031861259247108184
synthetic,LR,24,0.9989285714285715,0.9999237410948327,0.03377069329157439,0.009405437196527255,0.022613863661136217
synthetic,LR,25,0.9996253980146095,0.999974715949637,0.04176201597124404,0.011274330296329798,0.02807293828173398
synthetic,LR,26,0.9998214285714285,0.9999872902897814,0.03496937643228242,0.008171751985975417,0.026247983487529145
synthetic,LR,27,0.9983928571428572,0.9998854621999445,0.046558409005204075,0.012869694779244458,0.02857463609666967
synthetic,LR,28,1.0,1.0,0.024336453806196024,0.005277342360541436,0.02089609067009197
synthetic,LR,29,0.9992857142857143,0.9999492512989143,0.04207220451107691,0.010702601249318044,0.025694631913340208
synthetic,LR,30,0.9998126990073049,0.9999873804295702,0.0372988406403582,0.009796545143968332,0.027430001518324202
synthetic,LR,31,0.9978571428571429,0.9998467764577164,0.044103701249162935,0.011298704966966036,0.02792923457977813
synthetic,LR,32,0.9991071428571429,0.9999362679326935,0.03877895106445532,0.01052588305823555,0.018264303953243983
synthetic,LR,33,0.999642857142857,0.9999745351877406,0.04027020534830734,0.00968599580307802,0.028920668458920173
synthetic,LR,34,0.9989285714285714,0.999923737546507,0.03690403283051809,0.01017908849077132,0.02113149054534508
synthetic,LR,35,0.9996253980146095,0.999974715949637,0.03163064478790357,0.007776719485678676,0.02218070896549409
synthetic,LR,36,0.9983928571428572,0.9998850610269356,0.03594360158526805,0.008563173161436566,0.021460578790666814
synthetic,LR,37,0.9985714285714286,0.9998981799841704,0.04099719510170179,0.01029867051443698,0.02161796656671634
synthetic,LR,38,1.0,1.0,0.03636243105658135,0.009977028597559032,0.028764827705312114
synthetic,LR,39,0.9989285714285714,0.999923737546507,0.04400557642928366,0.011748407622281387,0.02813015491287259
synthetic,LR,40,0.9994380970219141,0.9999624078993534,0.038583238245048654,0.010659162568858065,0.027284241224292665
synthetic,LR,41,0.9982142857142857,0.9998720740139486,0.0400694304488086,0.010693262022815784,0.022466103715672172
synthetic,LR,42,0.9992857142857143,0.9999492512989143,0.043641358823852144,0.011071638995088924,0.02658702346330342
synthetic,LR,43,1.0,1.0,0.03453222701029113,0.008193061119154526,0.02874039318932463
synthetic,LR,44,1.0,1.0,0.027616344928759227,0.0058651933693762565,0.023729513485627705
synthetic,LR,45,0.9996253980146095,0.9999748500433837,0.03893309893131057,0.008754547941931583,0.029598466982449383
synthetic,LR,46,0.9976785714285714,0.9998351183646426,0.046851023217237484,0.013109173465647954,0.027278876267336744
synthetic,LR,47,0.9989285714285715,0.9999236036142971,0.03631996269374843,0.009838280303485956,0.018119277395105486
synthetic,LR,48,1.0,1.0,0.03442016947421746,0.00899805806833997,0.024943002498395518
synthetic,LR,49,0.9994642857142857,0.9999617343684881,0.033291947550444984,0.007414639447874043,0.023986463594101105
synthetic,RF,0,1.0,1.0,0.00729146649700713,0.0005697070464610248,0.006967617077189155
synthetic,RF,1,1.0,1.0,0.004638838949793555,0.00012988790934759294,0.004569433795037791
synthetic,RF,2,1.0,0.9999999999999999,0.013580418152463934,0.002998897071526804,0.009313560771337033
synthetic,RF,3,1.0,0.9999999999999999,0.004255336221962368,6.00994510385659e-05,0.004224375481769133
synthetic,RF,4,1.0,1.0,0.008053842590416114,0.0012891238120743536,0.006983228026666703
synthetic,RF,5,1.0,1.0,0.0075652726422619455,0.0013755429449158127,0.006332571211380637
synthetic,RF,6,1.0,1.0,0.006622689941466586,0.0006261778818681709,0.006255129490345204
synthetic,RF,7,1.0,1.0,0.00538167762223864,0.0001812637989677055,0.005285638013533151
synthetic,RF,8,1.0,1.0,0.01180044550301868,0.002658586395958607,0.00802123018832782
synthetic,RF,9,1.0,1.0,0.00572993625415925,0.0002920461078069872,0.005572651840050519
synthetic,RF,10,1.0,1.0,0.008610508723796007,0.001591494513943776,0.007233438435217246
synthetic,RF,11,1.0,1.0,0.011658730701109541,0.0024534542561675445,0.008740003852815561
synthetic,RF,12,1.0,1.0,0.005681167660137036,0.0002834064403487993,0.005527613761788199
synthetic,RF,13,1.0,0.9999999999999999,0.0047317785664857314,0.00010235432848981474,0.004678687062349359
synthetic,RF,14,1.0,0.9999999999999999,0.011622511454610488,0.0027375493767389557,0.007366968223381048
synthetic,RF,15,1.0,1.0,0.004983910590681706,0.00015419722491626076,0.004903077764149633
synthetic,RF,16,1.0,1.0,0.010375729527319955,0.002021487209013858,0.008392160801987014
synthetic,RF,17,1.0,1.0,0.011862471106923555,0.0028190776333541236,0.007906736900087186
synthetic,RF,18,1.0,0.9999999999999999,0.005399488243605375,0.00030109712825769457,0.0052328838679298224
synthetic,RF,19,1.0,1.0,0.006019175387252959,0.0004727119469926316,0.005729766979312852
synthetic,RF,20,1.0,1.0,0.005296972069000495,0.00022327047821872915,0.005177943435851595
synthetic,RF,21,1.0,0.9999999999999999,0.004411506484126591,0.00010739024685993734,0.004355000160211959
synthetic,RF,22,1.0,1.0,0.003921509734549239,5.293152761193356e-05,0.0038944984841390315
