env,model,fold,auroc,auprc,logloss,brier,ece
synthetic,ET,24.5,0.9996509525593343,0.9999754433195919,0.019672968027145844,0.004973210932105417,0.013839585982081189
synthetic,HGB,24.5,0.9999785714285714,0.9999984730191009,0.009523755167721913,0.0015156530603042265,0.007493719486686546
synthetic,LR,24.5,0.9992572224600648,0.9999473729898445,0.03786636054765041,0.009648372731256944,0.02577407996353029
synthetic,MLP,24.5,0.8236321575736494,0.9839954606368226,0.19135642845436515,0.05154363258036826,0.03178306262296881
synthetic,RF,24.5,0.9999964285714286,0.9999997458057956,0.007817318550467193,0.0011659897911487525,0.006315523806658106
nhanes,ET,24.5,0.9977892576872261,0.9937263421251958,0.05466131702885913,0.015229655521074659,0.017514398643227836
nhanes,HGB,24.5,1.0,1.0,0.002193074127140063,6.328149483480228e-06,0.0021899024537079376
nhanes,LR,24.5,0.9997427255219401,0.9992390055659652,0.03560821987328151,0.009139490151641484,0.022555143496987017
nhanes,MLP,24.5,0.9979140202167622,0.994176079676869,0.05998675197999512,0.01584033880311174,0.024138728456843953
nhanes,RF,24.5,1.0,1.0,0.0022132154053612634,1.2387982915488881e-05,0.0022069201448231433
