env_dropped,K_envs_kept,FlipRate_global,Feasible_set_size,Strict_selected,Infeasible,Fallback_model,Fallback_worst_regret
demo,1,0.0,5,MLP,False,MLP,0.0
full,1,0.0,0,,True,HGB,0.0
